Algoritmo,Cores,NomeCompleto,N,duration,time_seq,Speedup,Eficiencia,time_ideal,Overhead_Time,Overhead_Pct,Wasted_Work,Overhead_Formula
Distribuido,2,Distribuido (2 Nós),16,0.01699,0.007689,0.452541,0.226271,0.0038445,0.013145500000000001,77.37198351971747,0.026291000000000002,3.4193002991286257
Distribuido,2,Distribuido (2 Nós),32,0.10728,0.050323,0.469085,0.234543,0.0251615,0.0821185,76.54595451155853,0.164237,3.2636567772191643
Distribuido,2,Distribuido (2 Nós),64,0.79116,0.40465,0.511464,0.255732,0.202325,0.588835,74.42679104100309,1.17767,2.91034227109848
Distribuido,2,Distribuido (2 Nós),128,40.96654,2.981042,0.072768,0.036384,1.490521,39.476019,96.361613648602,78.952038,26.48471172160607
Distribuido,2,Distribuido (2 Nós),256,503.69504,29.926212,0.059413,0.029707,14.963106,488.731934,97.02933227216214,977.463868,32.662465533559676
Distribuido,4,Distribuido (4 Nós),16,0.017589,0.007689,0.437136,0.109284,0.00192225,0.01566675,89.07129455909943,0.062667,8.15021459227468
Distribuido,4,Distribuido (4 Nós),32,0.064565,0.050323,0.779427,0.194857,0.01258075,0.051984249999999996,80.51459769224812,0.20793699999999998,4.132046976531606
Distribuido,4,Distribuido (4 Nós),64,0.443552,0.40465,0.912294,0.228073,0.1011625,0.3423895,77.1926403217661,1.369558,3.3845496107747435
Distribuido,4,Distribuido (4 Nós),128,22.272147,2.981042,0.133846,0.033462,0.7452605,21.5268865,96.65384527140559,86.107546,28.885049590042676
Distribuido,4,Distribuido (4 Nós),256,324.883894,29.926212,0.092114,0.023028,7.481553,317.402341,97.69716100484808,1269.609364,42.424659826642944
Distribuido,8,Distribuido (8 Nós),16,0.021064,0.007689,0.365009,0.045626,0.000961125,0.020102875,95.43712020508926,0.160823,20.915983873065418
Distribuido,8,Distribuido (8 Nós),32,0.029375,0.050323,1.713142,0.214143,0.006290375,0.023084624999999998,78.58595744680851,0.18467699999999998,3.6698328795977977
Distribuido,8,Distribuido (8 Nós),64,0.132314,0.40465,3.058259,0.382282,0.05058125,0.08173274999999999,61.77180797194553,0.6538619999999999,1.6158705053750153
Distribuido,8,Distribuido (8 Nós),128,1.020508,2.981042,2.921135,0.365142,0.37263025,0.6478777499999999,63.48580804854053,5.183021999999999,1.7386611795472857
Distribuido,8,Distribuido (8 Nós),256,93.99577,29.926212,0.318378,0.039797,3.7407765,90.2549935,96.02027144412988,722.039948,24.127341876746712
Paralelo,2,Paralelo (2 Cores),16,0.018948,0.007689,0.405787,0.202893,0.0038445,0.015103499999999999,79.7102596580114,0.030206999999999998,3.92859929769801
Paralelo,2,Paralelo (2 Cores),32,0.030138,0.050323,1.669784,0.834892,0.0251615,0.004976500000000002,16.51237640188467,0.009953000000000004,0.197782326172923
Paralelo,2,Paralelo (2 Cores),64,0.192585,0.40465,2.101149,1.050574,0.202325,0.0,0.0,-0.019479999999999997,0.0
Paralelo,2,Paralelo (2 Cores),128,1.570156,2.981042,1.898564,0.949282,1.490521,0.07963500000000012,5.071789045164946,0.15927000000000024,0.05342762698412174
Paralelo,2,Paralelo (2 Cores),256,15.12645,29.926212,1.978403,0.989201,14.963106,0.16334400000000038,1.0798568071160146,0.32668800000000076,0.010916450100667628
Paralelo,4,Paralelo (4 Cores),16,0.01618,0.007689,0.475191,0.118798,0.00192225,0.01425775,88.11959208899877,0.057031,7.417219404343868
Paralelo,4,Paralelo (4 Cores),32,0.019408,0.050323,2.592926,0.648232,0.01258075,0.006827250000000002,35.17750412201155,0.027309000000000007,0.5426743238678141
Paralelo,4,Paralelo (4 Cores),64,0.1076,0.40465,3.760703,0.940176,0.1011625,0.006437499999999999,5.982806691449813,0.025749999999999995,0.06363524033115037
Paralelo,4,Paralelo (4 Cores),128,0.815318,2.981042,3.656292,0.914073,0.7452605,0.0700575,8.592659551242582,0.28023,0.0940040428816501
Paralelo,4,Paralelo (4 Cores),256,6.858157,29.926212,4.363594,1.090898,7.481553,0.0,0.0,-2.4935839999999985,0.0
Paralelo,8,Paralelo (8 Cores),16,0.020745,0.007689,0.370631,0.046329,0.000961125,0.019783875,95.36695589298625,0.158271,20.584081154896605
Paralelo,8,Paralelo (8 Cores),32,0.019845,0.050323,2.535806,0.316976,0.006290375,0.013554625,68.30246913580247,0.108437,2.1548198636806233
Paralelo,8,Paralelo (8 Cores),64,0.091357,0.40465,4.429323,0.553665,0.05058125,0.04077574999999999,44.633416158586634,0.32620599999999994,0.8061435808723587
Paralelo,8,Paralelo (8 Cores),128,0.634291,2.981042,4.6998,0.587475,0.37263025,0.26166075000000005,41.25247717530283,2.0932860000000004,0.7021994322790489
Paralelo,8,Paralelo (8 Cores),256,4.822004,29.926212,6.206177,0.775772,3.7407765,1.0812274999999998,22.42278314161498,8.649819999999998,0.2890382518175036
Sequencial,1,Sequencial,16,0.007689,0.007689,1.0,1.0,0.007689,0.0,0.0,0.0,0.0
Sequencial,1,Sequencial,32,0.050323,0.050323,1.0,1.0,0.050323,0.0,0.0,0.0,0.0
Sequencial,1,Sequencial,64,0.40465,0.40465,1.0,1.0,0.40465,0.0,0.0,0.0,0.0
Sequencial,1,Sequencial,128,2.981042,2.981042,1.0,1.0,2.981042,0.0,0.0,0.0,0.0
Sequencial,1,Sequencial,256,29.926212,29.926212,1.0,1.0,29.926212,0.0,0.0,0.0,0.0
